complaint_text,issue_type
Toilet cleanliness is poor at Park Lane park,sanitation
Public toilet near Park Lane is dirty and unusable,sanitation
Constant noise near Pine Road affecting residents,noise
Sewage water stagnating on Birch Avenue road,sewage
Garbage dumping near Elm Street is causing health issues,garbage
Broken traffic light on Oak Street road causing traffic jams,traffic_signal
Please clean garbage from Maple Avenue street,garbage
There is a large pothole on Birch Avenue causing danger,pothole
Many street lights off on Main Street road,streetlight
Sewage water stagnating on Main Street road,sewage
Noise pollution from Elm Street is unbearable,noise
Unsafe road conditions on Birch Avenue street,road_damage
Road potholes and cracks on MG Road,road_damage
The park near Park Lane is full of broken benches and trash,park_maintenance
There is a large pothole on Pine Road causing danger,pothole
Sewage water stagnating on Cedar Street road,sewage
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Constant noise near Birch Avenue affecting residents,noise
The park near Oak Street is full of broken benches and trash,park_maintenance
Public toilet near Main Street is dirty and unusable,sanitation
Many street lights off on Cedar Street road,streetlight
Huge pothole near MG Road needs urgent repair,pothole
There is a large pothole on MG Road causing danger,pothole
Huge pothole near Elm Street needs urgent repair,pothole
Please clean garbage from Pine Road street,garbage
Loud noise from construction site at Birch Avenue is disturbing,noise
Constant water leakage on MG Road is wasting water,water_leakage
Sewage smell in the alley near Pine Road is unbearable,sewage
Sewage smell in the alley near Main Street is unbearable,sewage
The park near Elm Street is full of broken benches and trash,park_maintenance
Traffic signal timing is wrong on 5th Avenue,traffic_signal
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Unsafe road conditions on Cedar Street street,road_damage
Dark street due to faulty streetlights on Park Lane,streetlight
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
Garbage is not collected for weeks in Maple Avenue,garbage
Water is leaking from the pipe near Main Street,water_leakage
Fix water leakage issue on Oak Street immediately,water_leakage
Sanitation problem near Pine Road market,sanitation
Clean the park area near Oak Street,park_maintenance
Road is cracked and unsafe on MG Road,road_damage
Many potholes along Maple Avenue street making it unsafe,pothole
Huge pothole near Birch Avenue needs urgent repair,pothole
Garbage dumping near Pine Road is causing health issues,garbage
Potholes are damaging vehicles on Elm Street,pothole
Public toilet near Pine Road is dirty and unusable,sanitation
Sewage water is leaking on Oak Street street,sewage
Urgent repair needed for traffic lights at Birch Avenue,traffic_signal
Many potholes along Cedar Street street making it unsafe,pothole
Dangerous pothole on MG Road road is causing accidents,pothole
Many street lights off on MG Road road,streetlight
Street lights are not working properly at 5th Avenue,streetlight
Noise pollution from Pine Road is unbearable,noise
Repair the damaged road near MG Road,road_damage
Dangerous pothole on Pine Road road is causing accidents,pothole
Many potholes along Birch Avenue street making it unsafe,pothole
Constant water leakage on 5th Avenue is wasting water,water_leakage
Garbage dumping near Birch Avenue is causing health issues,garbage
Sanitation facilities at Birch Avenue need improvement,sanitation
Garbage is not collected for weeks in Maple Avenue,garbage
Overflowing garbage bins at Main Street need cleaning,garbage
Please clean garbage from Maple Avenue street,garbage
Unsafe road conditions on MG Road street,road_damage
Water leakage near Oak Street has damaged the street,water_leakage
Constant noise near Pine Road affecting residents,noise
The park near Oak Street is full of broken benches and trash,park_maintenance
Please control noise at Cedar Street during nights,noise
Noise pollution from Main Street is unbearable,noise
Huge pothole near Cedar Street needs urgent repair,pothole
High noise levels from Birch Avenue factory,noise
Please clean garbage from Maple Avenue street,garbage
Garbage piles near Pine Road are attracting rats,garbage
Public toilet near Main Street is dirty and unusable,sanitation
Potholes are damaging vehicles on Birch Avenue,pothole
Please control noise at Main Street during nights,noise
Fix public sanitation issues at Oak Street,sanitation
High noise levels from Birch Avenue factory,noise
Sanitation facilities at Park Lane need improvement,sanitation
Sewage water stagnating on Park Lane road,sewage
Urgent repair needed for traffic lights at Oak Street,traffic_signal
Repair the damaged road near Main Street,road_damage
Traffic signals on Main Street are not working,traffic_signal
Many street lights off on Elm Street road,streetlight
Garbage dumping near Pine Road is causing health issues,garbage
Park facilities at Birch Avenue need repair,park_maintenance
Road is cracked and unsafe on Main Street,road_damage
Road is cracked and unsafe on Pine Road,road_damage
Clean the park area near Birch Avenue,park_maintenance
Water is leaking from the pipe near 5th Avenue,water_leakage
Dangerous pothole on Cedar Street road is causing accidents,pothole
Park maintenance is poor at 5th Avenue,park_maintenance
Clean the park area near Main Street,park_maintenance
Sanitation facilities at Park Lane need improvement,sanitation
Park maintenance is poor at Birch Avenue,park_maintenance
Road potholes and cracks on Pine Road,road_damage
Broken traffic light on 5th Avenue road causing traffic jams,traffic_signal
Sewage water is leaking on Oak Street street,sewage
The park near Cedar Street is full of broken benches and trash,park_maintenance
Fix sewage leakage near 5th Avenue immediately,sewage
Open sewage on Maple Avenue is a health hazard,sewage
Please clean garbage from Main Street street,garbage
Children cannot play at Park Lane park due to trash,park_maintenance
Fix public sanitation issues at Elm Street,sanitation
Public toilet near Cedar Street is dirty and unusable,sanitation
Street lights are not working properly at Cedar Street,streetlight
Dangerous pothole on Pine Road road is causing accidents,pothole
Sewage water is leaking on Oak Street street,sewage
Open sewage on Cedar Street is a health hazard,sewage
Park facilities at MG Road need repair,park_maintenance
Potholes are damaging vehicles on Park Lane,pothole
Please control noise at Elm Street during nights,noise
Traffic signal timing is wrong on Birch Avenue,traffic_signal
Water is leaking from the pipe near Oak Street,water_leakage
Overflowing garbage bins at Elm Street need cleaning,garbage
Potholes are damaging vehicles on Pine Road,pothole
The park near Oak Street is full of broken benches and trash,park_maintenance
Garbage dumping near MG Road is causing health issues,garbage
Street lights are not working properly at Pine Road,streetlight
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
Please control noise at MG Road during nights,noise
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Many street lights off on Elm Street road,streetlight
Open sewage on Park Lane is a health hazard,sewage
Urgent repair needed for traffic lights at Cedar Street,traffic_signal
Dangerous pothole on MG Road road is causing accidents,pothole
Traffic signal timing is wrong on 5th Avenue,traffic_signal
Road potholes and cracks on Park Lane,road_damage
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
Potholes are damaging vehicles on Birch Avenue,pothole
Many street lights off on Oak Street road,streetlight
Toilet cleanliness is poor at Birch Avenue park,sanitation
Fix sewage leakage near 5th Avenue immediately,sewage
Many street lights off on Maple Avenue road,streetlight
Huge pothole near Maple Avenue needs urgent repair,pothole
Fix sewage leakage near 5th Avenue immediately,sewage
Park facilities at Main Street need repair,park_maintenance
The park near Main Street is full of broken benches and trash,park_maintenance
Children cannot play at MG Road park due to trash,park_maintenance
Constant water leakage on Birch Avenue is wasting water,water_leakage
Street lights are not working properly at Park Lane,streetlight
Water leakage near Pine Road has damaged the street,water_leakage
Children cannot play at MG Road park due to trash,park_maintenance
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Sanitation facilities at Birch Avenue need improvement,sanitation
Loud noise from construction site at Oak Street is disturbing,noise
Garbage dumping near Main Street is causing health issues,garbage
Water leakage near Elm Street has damaged the street,water_leakage
Sewage smell in the alley near Elm Street is unbearable,sewage
Clean the park area near Cedar Street,park_maintenance
Repair the damaged road near Birch Avenue,road_damage
Park facilities at Pine Road need repair,park_maintenance
Water leakage near Main Street has damaged the street,water_leakage
Sewage smell in the alley near Elm Street is unbearable,sewage
Road potholes and cracks on 5th Avenue,road_damage
Urgent repair needed for traffic lights at Maple Avenue,traffic_signal
Noise pollution from Park Lane is unbearable,noise
High noise levels from Cedar Street factory,noise
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
Children cannot play at Maple Avenue park due to trash,park_maintenance
Fix water leakage issue on MG Road immediately,water_leakage
Traffic signals are malfunctioning at Park Lane intersection,traffic_signal
There is a major water pipe leak on Maple Avenue,water_leakage
Clean the park area near Cedar Street,park_maintenance
Loud noise from construction site at Elm Street is disturbing,noise
Repair the damaged road near Oak Street,road_damage
High noise levels from Elm Street factory,noise
Fix public sanitation issues at MG Road,sanitation
There is a large pothole on 5th Avenue causing danger,pothole
Park maintenance is poor at Maple Avenue,park_maintenance
Garbage piles near Maple Avenue are attracting rats,garbage
Dark street due to faulty streetlights on Oak Street,streetlight
Water leakage near Oak Street has damaged the street,water_leakage
Sanitation facilities at Oak Street need improvement,sanitation
Urgent repair needed for traffic lights at 5th Avenue,traffic_signal
Many street lights off on 5th Avenue road,streetlight
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
Sewage water is leaking on Maple Avenue street,sewage
Sewage water stagnating on 5th Avenue road,sewage
Huge pothole near 5th Avenue needs urgent repair,pothole
Please control noise at 5th Avenue during nights,noise
There is a major water pipe leak on Cedar Street,water_leakage
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Garbage dumping near Birch Avenue is causing health issues,garbage
Sanitation facilities at Elm Street need improvement,sanitation
There is a large pothole on Birch Avenue causing danger,pothole
Urgent repair needed for traffic lights at Main Street,traffic_signal
Broken traffic light on Pine Road road causing traffic jams,traffic_signal
Water leakage near 5th Avenue has damaged the street,water_leakage
Fix sewage leakage near Park Lane immediately,sewage
Toilet cleanliness is poor at Elm Street park,sanitation
There is a major water pipe leak on Park Lane,water_leakage
Water leakage near Oak Street has damaged the street,water_leakage
Unsafe road conditions on Birch Avenue street,road_damage
Repair the damaged road near Pine Road,road_damage
Garbage dumping near Park Lane is causing health issues,garbage
Dark street due to faulty streetlights on Maple Avenue,streetlight
Constant noise near Pine Road affecting residents,noise
Please clean garbage from Oak Street street,garbage
Poor lighting on Elm Street at night is dangerous,streetlight
Sanitation facilities at Cedar Street need improvement,sanitation
Toilet cleanliness is poor at Main Street park,sanitation
Unsafe road conditions on Elm Street street,road_damage
Poor lighting on Cedar Street at night is dangerous,streetlight
Overflowing garbage bins at 5th Avenue need cleaning,garbage
Loud noise from construction site at Main Street is disturbing,noise
There is a major water pipe leak on Elm Street,water_leakage
Children cannot play at MG Road park due to trash,park_maintenance
Constant noise near Maple Avenue affecting residents,noise
There is a large pothole on 5th Avenue causing danger,pothole
Constant water leakage on Cedar Street is wasting water,water_leakage
Many street lights off on Park Lane road,streetlight
Constant noise near Birch Avenue affecting residents,noise
Noise pollution from Maple Avenue is unbearable,noise
Repair the damaged road near Pine Road,road_damage
Garbage piles near Pine Road are attracting rats,garbage
Fix streetlight on Main Street quickly for safety,streetlight
Noise pollution from 5th Avenue is unbearable,noise
Sewage water is leaking on Oak Street street,sewage
Fix sewage leakage near MG Road immediately,sewage
There is a large pothole on MG Road causing danger,pothole
Constant water leakage on 5th Avenue is wasting water,water_leakage
Garbage is not collected for weeks in Elm Street,garbage
Fix public sanitation issues at Maple Avenue,sanitation
Dangerous pothole on Cedar Street road is causing accidents,pothole
Street lights are not working properly at Elm Street,streetlight
Broken traffic light on Birch Avenue road causing traffic jams,traffic_signal
Garbage is not collected for weeks in Maple Avenue,garbage
Sewage smell in the alley near MG Road is unbearable,sewage
The park near Birch Avenue is full of broken benches and trash,park_maintenance
Please clean garbage from Oak Street street,garbage
Fix public sanitation issues at Maple Avenue,sanitation
Sanitation problem near Oak Street market,sanitation
Constant water leakage on Elm Street is wasting water,water_leakage
Overflowing garbage bins at Park Lane need cleaning,garbage
Fix streetlight on Birch Avenue quickly for safety,streetlight
Park maintenance is poor at Birch Avenue,park_maintenance
Garbage piles near MG Road are attracting rats,garbage
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Street lights are not working properly at Maple Avenue,streetlight
Fix water leakage issue on Cedar Street immediately,water_leakage
Potholes are damaging vehicles on Main Street,pothole
Sewage smell in the alley near Main Street is unbearable,sewage
Loud noise from construction site at 5th Avenue is disturbing,noise
Please control noise at Cedar Street during nights,noise
Broken traffic light on 5th Avenue road causing traffic jams,traffic_signal
There is a major water pipe leak on Oak Street,water_leakage
High noise levels from Birch Avenue factory,noise
Noise pollution from 5th Avenue is unbearable,noise
Unsafe road conditions on Birch Avenue street,road_damage
Overflowing garbage bins at Cedar Street need cleaning,garbage
Huge pothole near Oak Street needs urgent repair,pothole
Many potholes along Maple Avenue street making it unsafe,pothole
Traffic signals are malfunctioning at Pine Road intersection,traffic_signal
Overflowing garbage bins at Park Lane need cleaning,garbage
Fix sewage leakage near Cedar Street immediately,sewage
Sanitation problem near Maple Avenue market,sanitation
Public toilet near Birch Avenue is dirty and unusable,sanitation
Sewage smell in the alley near Elm Street is unbearable,sewage
Potholes are damaging vehicles on Oak Street,pothole
Dark street due to faulty streetlights on Birch Avenue,streetlight
Broken traffic light on MG Road road causing traffic jams,traffic_signal
Park facilities at Elm Street need repair,park_maintenance
Loud noise from construction site at Maple Avenue is disturbing,noise
Sanitation problem near Maple Avenue market,sanitation
Fix streetlight on Oak Street quickly for safety,streetlight
There is a major water pipe leak on 5th Avenue,water_leakage
Fix streetlight on Pine Road quickly for safety,streetlight
Sewage water stagnating on MG Road road,sewage
Sanitation problem near MG Road market,sanitation
Park facilities at Birch Avenue need repair,park_maintenance
Public toilet near Oak Street is dirty and unusable,sanitation
Children cannot play at Birch Avenue park due to trash,park_maintenance
Noise pollution from 5th Avenue is unbearable,noise
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
Many potholes along Cedar Street street making it unsafe,pothole
Water leakage near Park Lane has damaged the street,water_leakage
Constant noise near Oak Street affecting residents,noise
Constant water leakage on Cedar Street is wasting water,water_leakage
Repair the damaged road near Birch Avenue,road_damage
Unsafe road conditions on Birch Avenue street,road_damage
Park facilities at Cedar Street need repair,park_maintenance
Dangerous pothole on Elm Street road is causing accidents,pothole
Road potholes and cracks on Elm Street,road_damage
Overflowing garbage bins at Oak Street need cleaning,garbage
Huge pothole near Cedar Street needs urgent repair,pothole
Constant water leakage on Maple Avenue is wasting water,water_leakage
Fix water leakage issue on Birch Avenue immediately,water_leakage
Water leakage near Park Lane has damaged the street,water_leakage
Park maintenance is poor at Birch Avenue,park_maintenance
Overflowing garbage bins at Pine Road need cleaning,garbage
Repair the damaged road near Pine Road,road_damage
Unsafe road conditions on Cedar Street street,road_damage
Garbage is not collected for weeks in Maple Avenue,garbage
High noise levels from MG Road factory,noise
Children cannot play at Elm Street park due to trash,park_maintenance
Clean the park area near Birch Avenue,park_maintenance
Sanitation problem near Birch Avenue market,sanitation
Traffic signal timing is wrong on Oak Street,traffic_signal
Constant noise near Pine Road affecting residents,noise
Constant noise near Oak Street affecting residents,noise
Traffic signal timing is wrong on Cedar Street,traffic_signal
Clean the park area near Main Street,park_maintenance
Garbage is not collected for weeks in MG Road,garbage
There is a large pothole on Main Street causing danger,pothole
Sanitation problem near MG Road market,sanitation
Potholes are damaging vehicles on Maple Avenue,pothole
Urgent repair needed for traffic lights at Maple Avenue,traffic_signal
There is a large pothole on Park Lane causing danger,pothole
Garbage piles near Cedar Street are attracting rats,garbage
Street lights are not working properly at Main Street,streetlight
Potholes are damaging vehicles on Park Lane,pothole
There is a large pothole on Maple Avenue causing danger,pothole
Clean the park area near MG Road,park_maintenance
Constant noise near 5th Avenue affecting residents,noise
There is a major water pipe leak on Cedar Street,water_leakage
Traffic signals on Pine Road are not working,traffic_signal
Many potholes along Maple Avenue street making it unsafe,pothole
Potholes are damaging vehicles on Elm Street,pothole
Water is leaking from the pipe near Elm Street,water_leakage
Road potholes and cracks on MG Road,road_damage
The park near Cedar Street is full of broken benches and trash,park_maintenance
Park maintenance is poor at Main Street,park_maintenance
Street lights are not working properly at 5th Avenue,streetlight
Loud noise from construction site at Birch Avenue is disturbing,noise
Please control noise at Main Street during nights,noise
Road potholes and cracks on 5th Avenue,road_damage
Broken traffic light on Elm Street road causing traffic jams,traffic_signal
There is a large pothole on Cedar Street causing danger,pothole
Garbage dumping near Birch Avenue is causing health issues,garbage
Road is cracked and unsafe on 5th Avenue,road_damage
Park facilities at Birch Avenue need repair,park_maintenance
Damaged road surface on Pine Road needs fixing,road_damage
Sewage water is leaking on 5th Avenue street,sewage
Constant noise near Oak Street affecting residents,noise
Garbage is not collected for weeks in Pine Road,garbage
Street lights are not working properly at Maple Avenue,streetlight
Public toilet near Park Lane is dirty and unusable,sanitation
Potholes are damaging vehicles on Elm Street,pothole
Please clean garbage from Pine Road street,garbage
Constant noise near Main Street affecting residents,noise
Dark street due to faulty streetlights on MG Road,streetlight
Sanitation facilities at Birch Avenue need improvement,sanitation
Traffic signal timing is wrong on Elm Street,traffic_signal
Huge pothole near Maple Avenue needs urgent repair,pothole
Water is leaking from the pipe near 5th Avenue,water_leakage
Open sewage on MG Road is a health hazard,sewage
Many street lights off on Pine Road road,streetlight
Dark street due to faulty streetlights on Birch Avenue,streetlight
Park facilities at Park Lane need repair,park_maintenance
Traffic signals on Pine Road are not working,traffic_signal
Garbage is not collected for weeks in Oak Street,garbage
Unsafe road conditions on MG Road street,road_damage
Water leakage near Elm Street has damaged the street,water_leakage
Sewage water is leaking on Oak Street street,sewage
Park maintenance is poor at 5th Avenue,park_maintenance
Loud noise from construction site at Pine Road is disturbing,noise
Fix streetlight on Elm Street quickly for safety,streetlight
Fix water leakage issue on Park Lane immediately,water_leakage
Potholes are damaging vehicles on Maple Avenue,pothole
Sewage smell in the alley near Elm Street is unbearable,sewage
Garbage piles near Maple Avenue are attracting rats,garbage
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Sewage smell in the alley near Main Street is unbearable,sewage
Garbage dumping near Birch Avenue is causing health issues,garbage
There is a large pothole on 5th Avenue causing danger,pothole
Road potholes and cracks on Cedar Street,road_damage
Many potholes along 5th Avenue street making it unsafe,pothole
Sanitation facilities at Cedar Street need improvement,sanitation
Urgent repair needed for traffic lights at Park Lane,traffic_signal
Sewage smell in the alley near Park Lane is unbearable,sewage
Sewage water is leaking on Oak Street street,sewage
Fix sewage leakage near Park Lane immediately,sewage
High noise levels from Birch Avenue factory,noise
Garbage piles near Cedar Street are attracting rats,garbage
Loud noise from construction site at 5th Avenue is disturbing,noise
Sanitation problem near Birch Avenue market,sanitation
Water leakage near Birch Avenue has damaged the street,water_leakage
Garbage piles near Elm Street are attracting rats,garbage
Public toilet near Park Lane is dirty and unusable,sanitation
Constant water leakage on Maple Avenue is wasting water,water_leakage
Fix water leakage issue on Oak Street immediately,water_leakage
Repair the damaged road near Main Street,road_damage
Fix streetlight on Maple Avenue quickly for safety,streetlight
Fix sewage leakage near Elm Street immediately,sewage
Please control noise at Cedar Street during nights,noise
Fix sewage leakage near Oak Street immediately,sewage
Please control noise at Birch Avenue during nights,noise
Park maintenance is poor at Park Lane,park_maintenance
Dangerous pothole on Main Street road is causing accidents,pothole
Sewage water stagnating on Cedar Street road,sewage
Clean the park area near 5th Avenue,park_maintenance
Many potholes along Cedar Street street making it unsafe,pothole
Sewage water stagnating on MG Road road,sewage
Dark street due to faulty streetlights on Cedar Street,streetlight
Fix streetlight on Oak Street quickly for safety,streetlight
Dark street due to faulty streetlights on Main Street,streetlight
Noise pollution from MG Road is unbearable,noise
Toilet cleanliness is poor at Maple Avenue park,sanitation
Potholes are damaging vehicles on Park Lane,pothole
Potholes are damaging vehicles on Birch Avenue,pothole
Fix sewage leakage near 5th Avenue immediately,sewage
Traffic signal timing is wrong on Maple Avenue,traffic_signal
Road is cracked and unsafe on Cedar Street,road_damage
Garbage dumping near Main Street is causing health issues,garbage
Fix public sanitation issues at 5th Avenue,sanitation
Garbage is not collected for weeks in Pine Road,garbage
Please control noise at Park Lane during nights,noise
Sewage smell in the alley near Cedar Street is unbearable,sewage
Park maintenance is poor at Oak Street,park_maintenance
Constant water leakage on Elm Street is wasting water,water_leakage
Overflowing garbage bins at Maple Avenue need cleaning,garbage
There is a major water pipe leak on Main Street,water_leakage
Garbage dumping near Maple Avenue is causing health issues,garbage
Traffic signals are malfunctioning at MG Road intersection,traffic_signal
Open sewage on Cedar Street is a health hazard,sewage
The park near Elm Street is full of broken benches and trash,park_maintenance
Sewage smell in the alley near 5th Avenue is unbearable,sewage
Sanitation facilities at MG Road need improvement,sanitation
Sanitation problem near Maple Avenue market,sanitation
Toilet cleanliness is poor at Cedar Street park,sanitation
Sewage water stagnating on Park Lane road,sewage
Fix sewage leakage near Oak Street immediately,sewage
Water is leaking from the pipe near Cedar Street,water_leakage
Fix sewage leakage near Park Lane immediately,sewage
Open sewage on Pine Road is a health hazard,sewage
Open sewage on Cedar Street is a health hazard,sewage
Open sewage on Birch Avenue is a health hazard,sewage
Street lights are not working properly at Birch Avenue,streetlight
There is a major water pipe leak on Maple Avenue,water_leakage
Dangerous pothole on Oak Street road is causing accidents,pothole
Road is cracked and unsafe on Elm Street,road_damage
Park maintenance is poor at Maple Avenue,park_maintenance
Many street lights off on Pine Road road,streetlight
Urgent repair needed for traffic lights at Pine Road,traffic_signal
Park facilities at Maple Avenue need repair,park_maintenance
Toilet cleanliness is poor at 5th Avenue park,sanitation
Many potholes along Maple Avenue street making it unsafe,pothole
Broken traffic light on Main Street road causing traffic jams,traffic_signal
Potholes are damaging vehicles on Birch Avenue,pothole
Fix water leakage issue on Maple Avenue immediately,water_leakage
Many potholes along 5th Avenue street making it unsafe,pothole
Overflowing garbage bins at MG Road need cleaning,garbage
Constant water leakage on Oak Street is wasting water,water_leakage
Sewage water stagnating on MG Road road,sewage
Fix water leakage issue on Elm Street immediately,water_leakage
Clean the park area near Oak Street,park_maintenance
Fix water leakage issue on Pine Road immediately,water_leakage
Potholes are damaging vehicles on MG Road,pothole
Dark street due to faulty streetlights on 5th Avenue,streetlight
The park near Maple Avenue is full of broken benches and trash,park_maintenance
Children cannot play at Main Street park due to trash,park_maintenance
Park facilities at Pine Road need repair,park_maintenance
Potholes are damaging vehicles on Cedar Street,pothole
Unsafe road conditions on Oak Street street,road_damage
Garbage is not collected for weeks in 5th Avenue,garbage
Many potholes along Oak Street street making it unsafe,pothole
Please clean garbage from Birch Avenue street,garbage
Constant water leakage on Oak Street is wasting water,water_leakage
Fix streetlight on Park Lane quickly for safety,streetlight
Please control noise at Park Lane during nights,noise
Park facilities at 5th Avenue need repair,park_maintenance
Sewage water stagnating on Oak Street road,sewage
Poor lighting on MG Road at night is dangerous,streetlight
Water leakage near Cedar Street has damaged the street,water_leakage
There is a large pothole on Main Street causing danger,pothole
Please clean garbage from Pine Road street,garbage
Noise pollution from Main Street is unbearable,noise
Huge pothole near Maple Avenue needs urgent repair,pothole
Many potholes along 5th Avenue street making it unsafe,pothole
Repair the damaged road near Main Street,road_damage
Repair the damaged road near Maple Avenue,road_damage
Children cannot play at Maple Avenue park due to trash,park_maintenance
Please clean garbage from Main Street street,garbage
Open sewage on Elm Street is a health hazard,sewage
Please control noise at Main Street during nights,noise
Many potholes along Birch Avenue street making it unsafe,pothole
Repair the damaged road near Main Street,road_damage
Traffic signals are malfunctioning at 5th Avenue intersection,traffic_signal
Clean the park area near MG Road,park_maintenance
Sanitation problem near Main Street market,sanitation
Sewage water stagnating on Pine Road road,sewage
Please clean garbage from Oak Street street,garbage
The park near Park Lane is full of broken benches and trash,park_maintenance
There is a large pothole on MG Road causing danger,pothole
The park near Oak Street is full of broken benches and trash,park_maintenance
The park near MG Road is full of broken benches and trash,park_maintenance
Water leakage near Pine Road has damaged the street,water_leakage
Clean the park area near Birch Avenue,park_maintenance
Open sewage on Elm Street is a health hazard,sewage
Public toilet near Park Lane is dirty and unusable,sanitation
Many street lights off on Elm Street road,streetlight
Sewage smell in the alley near Cedar Street is unbearable,sewage
Many street lights off on Cedar Street road,streetlight
Fix public sanitation issues at Oak Street,sanitation
Damaged road surface on Park Lane needs fixing,road_damage
Traffic signal timing is wrong on Pine Road,traffic_signal
Park facilities at Main Street need repair,park_maintenance
Repair the damaged road near Maple Avenue,road_damage
Children cannot play at MG Road park due to trash,park_maintenance
Fix water leakage issue on 5th Avenue immediately,water_leakage
Traffic signal timing is wrong on Maple Avenue,traffic_signal
Noise pollution from Birch Avenue is unbearable,noise
Children cannot play at Cedar Street park due to trash,park_maintenance
There is a major water pipe leak on Elm Street,water_leakage
Noise pollution from MG Road is unbearable,noise
Garbage dumping near Maple Avenue is causing health issues,garbage
Sanitation facilities at Elm Street need improvement,sanitation
Toilet cleanliness is poor at Park Lane park,sanitation
Sanitation facilities at Birch Avenue need improvement,sanitation
Traffic signal timing is wrong on Main Street,traffic_signal
Unsafe road conditions on Birch Avenue street,road_damage
Traffic signals are malfunctioning at Maple Avenue intersection,traffic_signal
Broken traffic light on Cedar Street road causing traffic jams,traffic_signal
Please control noise at Cedar Street during nights,noise
Please clean garbage from Pine Road street,garbage
Sanitation facilities at Cedar Street need improvement,sanitation
Park facilities at Maple Avenue need repair,park_maintenance
Dark street due to faulty streetlights on Cedar Street,streetlight
Sewage smell in the alley near Maple Avenue is unbearable,sewage
Children cannot play at Maple Avenue park due to trash,park_maintenance
Sanitation problem near 5th Avenue market,sanitation
Park facilities at Birch Avenue need repair,park_maintenance
Park facilities at Elm Street need repair,park_maintenance
Please control noise at Pine Road during nights,noise
Many potholes along Elm Street street making it unsafe,pothole
Fix public sanitation issues at Park Lane,sanitation
Please clean garbage from Park Lane street,garbage
Unsafe road conditions on Birch Avenue street,road_damage
Traffic signal timing is wrong on Maple Avenue,traffic_signal
Clean the park area near Elm Street,park_maintenance
Please clean garbage from Oak Street street,garbage
Fix public sanitation issues at Cedar Street,sanitation
Please clean garbage from Main Street street,garbage
Children cannot play at Oak Street park due to trash,park_maintenance
Garbage dumping near 5th Avenue is causing health issues,garbage
Urgent repair needed for traffic lights at MG Road,traffic_signal
Sanitation facilities at 5th Avenue need improvement,sanitation
Constant noise near Elm Street affecting residents,noise
